Names,Length,Type,Extracted Value,Extracted Units,Normalised Value,Normalised Units,Confidence ,Authors,DOI,Journal,Title,_id,        
"[""LiNbO3""]",10,Curie,467,°C,740,K,,"[""Zong-Yang Shen"",""Yue-Ming Li"",""Liang Jiang"",""Run-Run Li"",""Zhu-Mei Wang"",""Yan Hong"",""Run-Hua Liao""]",10.1007/s10854-010-0261-1,Journal of Materials Science: Materials in Electronics,Phase transition and electrical properties of LiNbO3-modified K0.49Na0.51NbO3 lead-free piezoceramics,ObjectId(5a0b2d61d6183a247a49344a),
"[""LiSbO3""]",10,Curie,364,°C,637,K,,"[""D. Q. Xiao"",""J. G. Wu"",""L. Wu"",""J. G. Zhu"",""P. Yu"",""D. M. Lin"",""Y. W. Liao"",""Y. Sun""]",10.1007/s10853-009-3543-3,Journal of Materials Science,Investigation on the composition design and properties study of perovskite lead-free piezoelectric ceramics,ObjectId(5a0b1c44d6183a247a49339b),
"[""LiTaO3""]",10,Curie,583,K,583,K,,"[""Yasunobu Inoue"",""Yasunobu Inoue""]",10.1039/b816677n,Energy & Environmental Science,Photocatalytic water splitting by RuO2-loaded metal oxides and nitrides with d0- and d10 -related electronic configurations,ObjectId(5a0ba1c4d6183a247a493784),
"[""MnCO3""]",9,Curie,32.2,K,32.2,K,,"[""Christina Zitzer"",""Thomas W. T. Muesmann"",""Jens Christoffers"",""Christian Schwickert"",""Rainer Pöttgen"",""Mathias S. Wickleder"",""Christina Zitzer"",""Thomas W. T. Muesmann"",""Jens Christoffers"",""Christian Schwickert"",""Rainer Pöttgen"",""Mathias S. Wickleder""]",10.1039/c4ce01618a,CrystEngComm,"1,2,4,5-Benzenetetrasulfonic acid and 1,4-benzenedisulfonic acid as sulfo analogues of pyromellitic and terephthalic acids for building coordination polymers of manganese",ObjectId(5a2d2254d6183a42687d79f0),
"[""NaTaO3""]",10,Curie,748,K,748,K,,"[""Knight, Kevin S."",""Kennedy, Brendan J.""]",10.1016/j.solidstatesciences.2015.03.016,Solid State Sciences,Phase coexistence in NaTaO3 at room temperature; a high resolution neutron powder diffraction study ,ObjectId(5a0eed32d6183a12c6344a9b),
"[""NdVO3""]",9,Curie,138,K,138,K,,"[""Kimishima, Y."",""Uehara, M."",""Saitoh, T.""]",10.1016/j.ssc.2004.12.044,Solid State Communications,Ca-doping effects on N-type ferrimagnetism of NdVO3 ,ObjectId(5a2249c5d6183a3105f26374),
"[""PbZrO3""]",10,Curie,230,°C,503,K,,"[""T. K. Mandal""]",10.1007/s12648-012-0163-6,Indian Journal of Physics,X-ray diffraction and scanning electron microscopic studies on the microstructure of laser induced surface alloyed PZT ceramics,ObjectId(5a0b9506d6183a247a493709),
"[""SeCuO3""]",10,Curie,25,K,25,K,,"[""Tao Wang"",""Wangzhou Shi"",""Xiaodong Fang"",""Weiwei Dong"",""Ruhua Tao""]",10.1007/s10971-009-2146-4,Journal of Sol-Gel Science and Technology,Fabrication of polycrystalline La2NiMnO6 thin films on Si (1 0 0) substrates by chemical solution deposition,ObjectId(5a0b6fdbd6183a247a493601),
"[""SmVO3""]",9,Curie,130,K,130,K,,"[""Kimishima, Y"",""Nishida, S"",""Mizuno, T"",""Ichiyanagi, Y"",""Uehara, M""]",10.1016/S0038-1098(02)00187-4,Solid State Communications,Pressure effects on N-type ferrimagnet SmVO3 ,ObjectId(5a2843bdd6183a224bbd91b8),
"[""SrCoO3""]",10,Curie,280,K,280,K,,"[""Vladislav Borisov"",""Sergey Ostanin"",""Ingrid Mertig"",""Vladislav Borisov"",""Sergey Ostanin"",""Ingrid Mertig""]",10.1039/c4cp05831c,Physical Chemistry Chemical Physics,Two-dimensional electron gas and its electric control at the interface between ferroelectric and antiferromagnetic insulator studied from first principles,ObjectId(5a0c7373d6183a6210e12dd8),
"[""SrRuO3""]",10,Curie,165,K,165,K,,"[""Yao Ying"",""Jingwu Zheng"",""Liang Qiao"",""Wangchang Li"",""Wei Cai"",""Shenglei Che"",""Liqiang Jiang"",""Jiyu Fan"",""Min Lin""]",10.1007/s10948-015-3146-y,Journal of Superconductivity and Novel Magnetism,Double Exchange Interaction Between Mn3+ and Ru4+ Ions in La1−xSrxMn1−xRuxO3,ObjectId(5a0bb729d6183a247a493829),
"[""SrTeO3""]",10,Curie,3.7,°C,276.7,K,,"[""Lee, Soonil"",""Bock, Jonathan A."",""Trolier-McKinstry, Susan"",""Randall, Clive A.""]",10.1016/j.jeurceramsoc.2012.06.007,Journal of the European Ceramic Society,Ferroelectric-thermoelectricity and Mott transition of ferroelectric oxides with high electronic conductivity ,ObjectId(5a1a096cd6183a1812613b47),
"[""SrZrO3""]",10,Curie,244,°C,517,K,,"[""Lv, Xiang"",""Li, Zhuoyun"",""Wu, Jiagang"",""Xi, Jingwen"",""Gong, Meng"",""Xiao, Dingquan"",""Zhu, Jianguo""]",10.1016/j.matdes.2016.07.026,Materials & Design,Enhanced piezoelectric properties in potassium-sodium niobate-based ternary ceramics ,ObjectId(5a12ad5fd6183a1b67afe4d2),
"[""TmCo3""]",9,Curie,370,K,370,K,,"[""Kowalczyk, A."",""Szajek, A."",""Ivanov, V.""]",10.1016/S0304-8853(02)00148-8,Journal of Magnetism and Magnetic Materials,Spin-reorientation transition and electronic structure of TmCo3 compound ,ObjectId(5a15b6dcd6183a0acdc0d0ac),
"[""YbFeO3""]",10,Curie,470,K,470,K,,"[""Run-Lan Zhang"",""Chang-Le Chen"",""Ke-Xin Jin"",""Li-Wei Niu"",""Hui Xing"",""Bing-cheng Luo""]",10.1007/s10832-013-9869-x,Journal of Electroceramics,Dielectric behavior of hexagonal and orthorhombic YFeO3 prepared by modified sol-gel method,ObjectId(5a0ad1f2d6183a247a493119),
"[""YTiO3""]",9,Curie,29,K,29,K,,"[""Seshadri, Ram""]",10.1016/j.cossms.2006.03.002,Current Opinion in Solid State and Materials Science,Zinc oxide-based diluted magnetic semiconductors ,ObjectId(5a130424d6183a1b67afe83e),
"[""ZnMnO3""]",10,Curie,300,K,300,K,,"[""R Sanz"",""J Jensen"",""G González-Díaz"",""O Martínez"",""M Vázquez"",""M Hernández-Vélez""]",10.1007/s11671-009-9327-5,Nanoscale Research Letters,Continuous and Localized Mn Implantation of ZnO,ObjectId(5a0c7e80d6183a6210e12e40),
"[""ZnTiO3""]",10,Curie,5,°C,278,K,,"[""Yin-Lai Chai"",""Yee-Shin Chang"",""Lay-Gaik Teoh"",""Yi-Jing Lin"",""Yu-Jen Hsiao""]",10.1007/s10853-008-2946-x,Journal of Materials Science,"Influence of ZrO2 addition on the structure, thermal stability, and dielectric properties of ZnTiO3 ceramics",ObjectId(5a0bc221d6183a247a4938ad),
"[""ZrTiO3""]",10,Curie,230,°C,503,K,,"[""Mandal, T.K"",""Ram, S""]",10.1016/S0167-577X(02)01249-1,Materials Letters,Synthesis of PbZr0.7Ti0.3O3 nanoparticles in a new tetragonal crystal structure with a polymer precursor ,ObjectId(5a12bb8ad6183a1b67afe545),
